"CELEB1","CELEB2"
"Lauren Conrad","Spencer Pratt"
"Lauren Conrad","Heidi Montag"
"Jennifer Aniston","Angelina Jolie"
"Shar Jackson","Britney Spears"
"Sean Combs","Suge Knight"
"Sean Combs","Tupac Shakur"
"Britney Spears","Shar Jackson"
"Angelina Jolie","Jennifer Aniston"
"Jay-Z","Nas"
"Jay-Z","Cam'ron"
