"CELEB","MOVIE"
"Britt Ekland","Satan's Mistress"
"Britt Ekland","Carol for Another Christmas"
"Britt Ekland","The Night They Raided Minsky's"
"Britt Ekland","After the Fox"
"Britt Ekland","Percy"
"Britt Ekland","The Bobo"
"Britt Ekland","Scandal"
"Britt Ekland","Asylum"
"Britt Ekland","The Wicker Man"
"Ben Lee","The Rage In Placid Lake"
"Janeane Garofalo","Southland Tales"
"Janeane Garofalo","The Independent"
"Janeane Garofalo","Bye Bye Love"
"Janeane Garofalo","The Search for John Gissing"
"Janeane Garofalo","Titan A.E."
"Janeane Garofalo","Coldblooded"
"Janeane Garofalo","The Thin Pink Line"
"Janeane Garofalo","Clay Pigeons"
"Janeane Garofalo","The Bumblebee Flies Anyway"
"Janeane Garofalo","Nadine in Date Land"
"Janeane Garofalo","Reality Bites"
"Janeane Garofalo","Steal This Movie!"
"Janeane Garofalo","Dogma"
"Janeane Garofalo","When Stand Up Stood Out"
"Janeane Garofalo","The Truth About Cats & Dogs"
"Janeane Garofalo","Duane Hopwood"
"Janeane Garofalo","Larger Than Life"
"Janeane Garofalo","Ratatouille"
"Janeane Garofalo","The Minus Man"
"Janeane Garofalo","Wet Hot American Summer"
"Janeane Garofalo","Cop Land"
"Janeane Garofalo","The Laramie Project"
"Janeane Garofalo","Dog Park"
"Janeane Garofalo","Mystery Men"
"Janeane Garofalo","The Cable Guy"
"Janeane Garofalo","Beyond the Ashes"
"Janeane Garofalo","The Ten"
"Janeane Garofalo","The Wild"
"Janeane Garofalo","The MatchMaker"
"Janeane Garofalo","Torrance Rises"
"Janeane Garofalo","Big Trouble"
"Janeane Garofalo","Wonderland"
"Janeane Garofalo","Kiki's Delivery Service"
"Charlie Sheen","Hot Shots! Part Deux"
"Charlie Sheen","Beyond the Law"
"Charlie Sheen","Loaded Weapon 1"
"Charlie Sheen","The Fourth Wise Man"
"Charlie Sheen","Platoon"
"Charlie Sheen","The Three Musketeers"
"Charlie Sheen","Navy SEALs"
"Charlie Sheen","Men at Work"
"Charlie Sheen","Good Advice"
"Charlie Sheen","Five Acres"
"Charlie Sheen","The Execution of Private Slovik"
"Charlie Sheen","Hot Shots!"
"Charlie Sheen","Postmortem"
"Charlie Sheen","Ferris Bueller's Day Off"
"Charlie Sheen","Major League"
"Charlie Sheen","Oliver Stone: Inside Out"
"Charlie Sheen","3 & 3"
"Charlie Sheen","Major League II"
"Charlie Sheen","The Rookie"
"Charlie Sheen","Foodfight!"
"Charlie Sheen","Shadow Conspiracy"
"Charlie Sheen","Silence of the Heart"
"Charlie Sheen","Wisdom"
"Charlie Sheen","Being John Malkovich"
"Charlie Sheen","The Big Bounce"
"Charlie Sheen","Tale of Two Sisters"
"Charlie Sheen","Red Dawn"
"Charlie Sheen","Pauly Shore Is Dead"
"Charlie Sheen","Out of the Darkness"
"Charlie Sheen","The Arrival"
"Charlie Sheen","The Chase"
"Charlie Sheen","Money Talks 2"
"Charlie Sheen","Courage Mountain"
"Charlie Sheen","Eight Men Out"
"Charlie Sheen","A Letter from Death Row"
"Charlie Sheen","Lucas"
"Charlie Sheen","Rated X"
"Charlie Sheen","Free Money"
"Charlie Sheen","No Code of Conduct"
"Charlie Sheen","Money Talks"
"Charlie Sheen","Wall Street"
"Charlie Sheen","The Boys Next Door"
"Charlie Sheen","Catchfire"
"Charlie Sheen","No Man's Land"
"Charlie Sheen","Deadfall"
"Charlie Sheen","Apocalypse Now"
"Charlie Sheen","Bad Day on the Block"
"Charlie Sheen","Young Guns"
"Charlie Sheen","The Wraith"
"Charlie Sheen","All Dogs Go to Heaven 2"
"Charlie Sheen","Grizzly II: The Predator Concert"
"Charlie Sheen","Never on Tuesday"
"Charlie Sheen","Terminal Velocity"
"Charlie Sheen","Cadence"
"Charlie Sheen","Three for the Road"
"Charlie Sheen","Scary Movie 4"
"Charlie Sheen","Loose Women"
"Charlie Sheen","Scary Movie 3"
"Elizabeth Daily","The Powerpuff Girls Movie"
"Elizabeth Daily","Rugrats All Grown Up: Dude, Where's My Horse?"
"Elizabeth Daily","Aladdin and the Adventure of All Time"
"Elizabeth Daily","Rugrats All Grown Up: R.V. Having Fun Yet?"
"Elizabeth Daily","The Powerpuff Girls: Meet the Beat-Alls"
"Elizabeth Daily","The Powerpuff Girls: Down 'n' Dirty"
"Elizabeth Daily","The Powerpuff Girls: Powerpuff Bluff"
"Elizabeth Daily","Ladies and Gentlemen, The Fabulous Stains"
"Elizabeth Daily","Bad Dreams"
"Elizabeth Daily","Rugrats All Grown Up: Interview with a Campfire"
"Elizabeth Daily","Rugrats All Grown Up: O' Brother!"
"Elizabeth Daily","One Dark Night"
"Elizabeth Daily","Rugrats in Paris: The Movie"
"Elizabeth Daily","Pee-wee's Big Adventure"
"Elizabeth Daily","Powerpuff Girls: 'Twas The Fight Before Christmas"
"Elizabeth Daily","Cutting Room"
"Elizabeth Daily","Rugrats Go Wild!"
"Elizabeth Daily","Alvin and the Chipmunks Meet the Wolfman"
"Elizabeth Daily","Rugrats: Mysteries"
"Elizabeth Daily","Rugrats All Grown Up: Growing Up Changes Everything"
"Elizabeth Daily","Rugrats: Holiday Celebration"
"Elizabeth Daily","Rugrats All Grown Up: All Grown Up ... and Loving It!"
"Elizabeth Daily","No Small Affair"
"Elizabeth Daily","The Rugrats Movie"
"Elizabeth Daily","Valley Girl"
"Elizabeth Daily","Babe: Pig in the City"
"Tyra Banks","Hannah Montana: The Movie"
"Tyra Banks","Mr. Woodcock"
"Tyra Banks","Halloween Resurrection"
"Tyra Banks","Love Stinks"
"Tyra Banks","Life-Size"
"Tyra Banks","Eight Crazy Nights"
"Tyra Banks","Higher Learning"
"Tyra Banks","Love & Basketball"
"Tyra Banks","Coyote Ugly"
"Robert Downey Jr.","Iron Man"
"Robert Downey Jr.","Tuff Turf"
"Robert Downey Jr.","Gothika"
"Robert Downey Jr.","Only You"
"Robert Downey Jr.","Heart and Souls"
"Robert Downey Jr.","Hugo Pool"
"Robert Downey Jr.","Mr. Willowby's Christmas Tree"
"Robert Downey Jr.","Zodiac"
"Robert Downey Jr.","A Guide to Recognizing Your Saints"
"Robert Downey Jr.","1969"
"Robert Downey Jr.","Danger Zone"
"Robert Downey Jr.","Less Than Zero"
"Robert Downey Jr.","The Soloist"
"Robert Downey Jr.","Johnny Be Good"
"Robert Downey Jr.","The Shaggy Dog"
"Robert Downey Jr.","Restoration"
"Robert Downey Jr.","The Singing Detective"
"Robert Downey Jr.","Rented Lips"
"Robert Downey Jr.","Wonder Boys"
"Robert Downey Jr.","The Gingerbread Man"
"Robert Downey Jr.","Soapdish"
"Robert Downey Jr.","Firstborn"
"Robert Downey Jr.","One Night Stand"
"Robert Downey Jr.","True Believer"
"Robert Downey Jr.","Fur"
"Robert Downey Jr.","Game 6"
"Robert Downey Jr.","Two Girls and a Guy"
"Robert Downey Jr.","A Scanner Darkly"
"Robert Downey Jr.","Chances Are"
"Robert Downey Jr.","Home for the Holidays"
"Robert Downey Jr.","Tropic Thunder"
"Robert Downey Jr.","U.S. Marshals"
"Robert Downey Jr.","Good Night, and Good Luck."
"Robert Downey Jr.","Black and White"
"Robert Downey Jr.","Chaplin"
"Robert Downey Jr.","Air America"
"Robert Downey Jr.","Natural Born Killers"
"Robert Downey Jr.","Back to School"
"Robert Downey Jr.","Friends and Lovers"
"Robert Downey Jr.","The Pick-up Artist"
"Robert Downey Jr.","Richard III"
"Robert Downey Jr.","Kiss Kiss Bang Bang"
"Robert Downey Jr.","Weird Science"
"Robert Downey Jr.","Charlie Bartlett"
"Robert Downey Jr.","In Dreams"
"Robert Downey Jr.","Eros"
"k.d. lang","Salmonberries"
"Tom Cruise","Taps"
"Tom Cruise","Endless Love"
"Tom Cruise","Rain Man"
"Tom Cruise","Risky Business"
"Tom Cruise","Austin Powers: Goldmember"
"Tom Cruise","All the Right Moves"
"Tom Cruise","Collateral"
"Tom Cruise","Cocktail"
"Tom Cruise","Interview with the Vampire"
"Tom Cruise","Days of Thunder"
"Tom Cruise","The Hardy Men"
"Tom Cruise","Interview with the Vampire: The Vampire Chronicles"
"Tom Cruise","Far and Away"
"Tom Cruise","Magnolia"
"Tom Cruise","Minority Report"
"Tom Cruise","Valkyrie"
"Tom Cruise","A Few Good Men"
"Tom Cruise","The Last Samurai"
"Tom Cruise","Lions for Lambs"
"Tom Cruise","Eyes Wide Shut"
"Tom Cruise","Mission: Impossible II"
"Tom Cruise","Mission: Impossible III"
"Tom Cruise","Vanilla Sky"
"Tom Cruise","Mission: Impossible"
"Tom Cruise","War of the Worlds"
"Tom Cruise","Jerry Maguire"
"Tom Cruise","Losin' It"
"Tom Cruise","Top Gun"
"Tom Cruise","Born on the Fourth of July"
"Tom Cruise","Legend"
"Tom Cruise","The Outsiders"
"Tom Cruise","The Firm"
"Tom Cruise","The Color of Money"
"Kate Hudson","Dr. T & the Women"
"Kate Hudson","Big Eyes"
"Kate Hudson","My Best Friend's Girl"
"Kate Hudson","Fool's Gold"
"Kate Hudson","Winged Creatures"
"Kate Hudson","About Adam"
"Kate Hudson","Gossip"
"Kate Hudson","Almost Famous"
"Kate Hudson","Bride Wars"
"Kate Hudson","You, Me and Dupree"
"Kate Hudson","Le Divorce"
"Kate Hudson","Ricochet River"
"Kate Hudson","Raising Helen"
"Kate Hudson","The Skeleton Key"
"Kate Hudson","Alex & Emma"
"Gwyneth Paltrow","Moonlight and Valentino"
"Gwyneth Paltrow","Austin Powers: Goldmember"
"Gwyneth Paltrow","Shout"
"Gwyneth Paltrow","The Good Night"
"Gwyneth Paltrow","View from the Top"
"Gwyneth Paltrow","Sylvia"
"Gwyneth Paltrow","Searching for Debra Winger"
"Gwyneth Paltrow","Higher Learning"
"Gwyneth Paltrow","Mrs. Parker and the Vicious Circle"
"Gwyneth Paltrow","Possession"
"Gwyneth Paltrow","Cruel Doubt"
"Gwyneth Paltrow","King Lear"
"Gwyneth Paltrow","Love and Other Disasters"
"Gwyneth Paltrow","The Intern"
"Gwyneth Paltrow","Great Expectations"
"Gwyneth Paltrow","Emma"
"Gwyneth Paltrow","Out of the Past"
"Gwyneth Paltrow","The Pallbearer"
"Gwyneth Paltrow","The Royal Tenenbaums"
"Gwyneth Paltrow","The Anniversary Party"
"Gwyneth Paltrow","Sky Captain and the World of Tomorrow"
"Gwyneth Paltrow","Proof"
"Gwyneth Paltrow","Jefferson in Paris"
"Gwyneth Paltrow","Seven"
"Gwyneth Paltrow","Running with Scissors"
"Gwyneth Paltrow","Duets"
"Gwyneth Paltrow","Malice"
"Gwyneth Paltrow","Bounce"
"Gwyneth Paltrow","Hush"
"Gwyneth Paltrow","Hook"
"Gwyneth Paltrow","Deadly Relations"
"Gwyneth Paltrow","Two Lovers"
"Gwyneth Paltrow","Shakespeare in Love"
"Gwyneth Paltrow","A Perfect Murder"
"Gwyneth Paltrow","Hard Eight"
"Nicole Richie","Kids in America"
"Leslie Caron","The L-Shaped Room"
"Leslie Caron","QB VII"
"Leslie Caron","Valentino"
"Leslie Caron","Gaby"
"Leslie Caron","Murder on the Orient Express"
"Leslie Caron","The Last of the Blonde Bombshells"
"Leslie Caron","Lili"
"Leslie Caron","Le Divorce"
"Leslie Caron","Funny Bones"
"Leslie Caron","An American in Paris"
"Leslie Caron","Gigi"
"Leslie Caron","The Glass Slipper"
"Leslie Caron","Daddy Long Legs"
"Leslie Caron","Father Goose"
"Leslie Caron","Fanny"
"Leslie Caron","Nicole"
"Keira Knightley","King Lear"
"Keira Knightley","Silk"
"Keira Knightley","Pirates of the Caribbean: At World's End"
"Keira Knightley","King Arthur"
"Keira Knightley","Domino"
"Keira Knightley","The Jacket"
"Keira Knightley","The Hole"
"Keira Knightley","Bend It Like Beckham"
"Keira Knightley","Pride & Prejudice"
"Keira Knightley","Pure"
"Keira Knightley","Pirates of the Caribbean: Dead Man's Chest"
"Keira Knightley","Atonement"
"Keira Knightley","Star Wars Episode I: The Phantom Menace"
"Keira Knightley","Pirates of the Caribbean: The Curse of the Black Pearl"
"Keira Knightley","The Duchess"
"Keira Knightley","Love Actually"
"Christian Slater","Tales from the Darkside: The Movie"
"Christian Slater","Young Guns II"
"Christian Slater","Tucker: The Man and His Dream"
"Christian Slater","Untamed Heart"
"Christian Slater","Kuffs"
"Christian Slater","Robin Hood: Prince of Thieves"
"Christian Slater","The Name of the Rose"
"Christian Slater","The Contender"
"Christian Slater","Windtalkers"
"Christian Slater","Basil"
"Christian Slater","Gleaming the Cube"
"Christian Slater","Very Bad Things"
